Satellite;Distance Satellite/Jupiter (km)
Metis;127690
Adrastea;128690
Amalthea;181366
Thebe;221889
Io;421700
Europa;671034
Ganymede;1070412
Callisto;1882709
Themisto;7393216
Leda;11187781
Himalia;11451971
Lysithea;11740560
Elara;11778034
Dia;12570424
Carpo;17144873
S/2003 J 12;17739539
Euporie;19088434
S/2003 J 3;19621780
S/2003 J 18;19812577
S/2011 J 1;20155290
S/2010 J 2;20307150
Thelxinoe;20453753
Euanthe;20464854
Helike;20540266
Orthosie;20567971
Iocaste;20722566
S/2003 J 16;20743779
Praxidike;20823948
Harpalyke;21063814
Mneme;21129786
Hermippe;21182086
Thyone;21405570
Ananke;21454952
Herse;22134306
Aitne;22285161
Kale;22409207
Taygete;22438648
S/2003 J 19;22709061
Chaldene;22713444
S/2003 J 15;22720999
S/2003 J 10;22730813
S/2003 J 23;22739654
Erinome;22986266
Aoede;23044175
Kallichore;23111823
Kalyke;23180773
Carme;23197992
Callirrhoe;23214986
Eurydome;23230858
S/2011 J 2;23329710
Pasithee;23307318
S/2010 J 1;23314335
Kore;23345093
Cyllene;23396269
Eukelade;23483694
S/2003 J 4;23570790
Pasiphae;23609042
Hegemone;23702511
Arche;23717051
Isonoe;23800647
S/2003 J 9;23857808
S/2003 J 5;23973926
Sinope;24057865
Sponde;24252627
Autonoe;24264445
Megaclite;24687239
S/2003 J 2;30290846
